"","Subtype","Provider","Name","Town","Council","Clients","Grades published","Setting","Staffing","Leadership","Care and play","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"104","Over 3s","Voluntary or Not for Profit","Bellfield Before & After School Care","Kilmarnock","East Ayrshire","Children","12/11/2018",4,4,4,5,"09/05/2024","2002_4",0,0
"105","Over 3s","Voluntary or Not for Profit","PEACE Dunlop Schools Out","Kilmarnock","East Ayrshire","Children","01/08/2022",4,4,4,4,"02/05/2022","2002_4",0,0
"106","Over 3s","Voluntary or Not for Profit","St. Mary's Nursery","Glasgow","East Dunbartonshire","Children","07/11/2018",5,5,5,5,"11/10/2018","2002_4",0,0
"107","Over 3s","Voluntary or Not for Profit","Bishopbriggs Village Nursery","Glasgow","East Dunbartonshire","Children","07/01/2019",5,5,5,5,"11/12/2018","2002_4",0,0
"108","Under 3s","Private","Auchinairn After School Care","Glasgow","East Dunbartonshire","Children","06/01/2023",6,5,5,6,"30/11/2022","2002_4",0,0
"109","Over 3s","Voluntary or Not for Profit","Cumbernauld YMCA - POMP Lenzie Meadow","Glasgow","East Dunbartonshire","Children","17/05/2024",4,4,4,4,"17/04/2024","2002_4",0,0
"110","Under 3s","Private","Cedar Nursery","Glasgow","East Dunbartonshire","Children","12/09/2019",4,4,4,5,"25/07/2019","2002_4",0,0
"111","Under 3s","Private","Happitots Day Nursery - Bishopbriggs","Glasgow","East Dunbartonshire","Children","24/11/2023",2,3,3,3,"15/04/2024","2002_4",1,0
"112","Over 3s","Private","Step By Step Out Of School Club","Glasgow","East Dunbartonshire","Children","11/03/2019",5,5,6,6,"14/02/2019","2002_4",0,0
"113","Over 3s","Voluntary or Not for Profit","Cumbernauld YMCA - Colquhoun Park OSC (POMP)","Glasgow","East Dunbartonshire","Children","19/09/2023",4,3,3,4,"24/08/2023","2002_4",0,0
"114","Over 3s","Private","BPC Karemore Out of School Club","Glasgow","East Dunbartonshire","Children","25/01/2018",5,5,5,6,"14/12/2017","2002_4",0,0
"115","Over 3s","Private","Cedar After School Care","Glasgow","East Dunbartonshire","Children","20/01/2022",4,4,4,4,"25/08/2021","2002_4",0,0
"116","Under 3s","Voluntary or Not for Profit","Maxholme Nursery School","Glasgow","East Dunbartonshire","Children","13/01/2020",5,5,5,5,"05/12/2019","2002_4",0,0
"117","Under 3s","Voluntary or Not for Profit","Baldernock Childcare","Glasgow","East Dunbartonshire","Children","18/02/2020",5,5,5,5,"15/01/2020","2002_4",0,0
"118","Over 3s","Voluntary or Not for Profit","Time Out Club, Milngavie","Glasgow","East Dunbartonshire","Children","21/01/2020",5,5,5,5,"20/12/2019","2002_4",0,0
"119","Under 3s","Private","The Bearsden Nursery","Glasgow","East Dunbartonshire","Children","29/05/2024",3,4,4,4,"28/03/2024","2002_4",0,0
"120","Over 3s","Voluntary or Not for Profit","Time Out Club, Castlehill","Glasgow","East Dunbartonshire","Children","16/10/2019",5,4,5,5,"27/08/2019","2002_4",0,0
"121","Over 3s","Voluntary or Not for Profit","Bearsden Primary After School Club","Bearsden","East Dunbartonshire","Children","03/10/2023",5,4,4,4,"03/08/2023","2002_4",0,0
"122","Under 3s","Private","Craighead Childcare Centre","Glasgow","East Dunbartonshire","Children","21/01/2022",5,5,5,5,"09/12/2021","2002_4",0,0
"123","Over 3s","Voluntary or Not for Profit","Time Out Club, Craigdhu","Glasgow","East Dunbartonshire","Children","27/02/2020",5,4,5,5,"05/12/2019","2002_4",0,0
"124","Under 3s","Private","Happy Days","Glasgow","East Dunbartonshire","Children","03/04/2019",4,5,4,5,"17/05/2024","2002_4",1,0
"125","Over 3s","Private","MACS Eastwood","Glasgow","East Renfrewshire","Children","05/08/2019",5,5,5,5,"09/07/2019","2002_4",0,0
"126","Over 3s","Voluntary or Not for Profit","Braidbar After School Care","Glasgow","East Renfrewshire","Children","07/02/2020",5,4,5,4,"26/11/2019","2002_4",0,0
"127","Over 3s","Voluntary or Not for Profit","Broom Nursery","Glasgow","East Renfrewshire","Children","30/06/2017",4,4,4,4,"25/05/2017","2002_4",0,0
"128","Under 3s","Voluntary or Not for Profit","Clarkston Nursery","Glasgow","East Renfrewshire","Children","13/12/2018",4,4,4,5,"09/11/2018","2002_4",0,0
